PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF,SALARY,Player_Comp_Share,Season
kayla mcbride,39,31.7,15,4.5,10.6,42,2.7,6.6,40.7,3.4,3.8,89.3,0.4,2.2,2.6,3.2,1.3,0.1,2,13.5,208000,0.0111827957,2024
dewanna bonner,40,31.8,15,5.3,12.8,41.5,1.5,4.9,29.4,3,3.6,83.2,0.6,5.4,6,2,1.2,0.7,1.4,15.4,209593,0.01126844086,2024
diana taurasi,36,29,14.9,4.8,11.9,40,2.4,7.2,33.3,3,3.5,85.7,0.4,3.4,3.8,3.4,0.6,0.3,1.9,13.5,234936,0.01263096774,2024
ariel atkins,40,29.9,14.9,5.4,12.4,43.7,2,5.5,35.7,2.1,2.5,84.8,0.9,2.5,3.4,3.1,1.5,0.4,2.3,13.6,200000,0.01075268817,2024
tina charles,39,29.7,14.9,6.2,13.7,45.6,0.3,1.1,26.2,2.2,2.7,78.5,2.5,7.1,9.6,2.3,0.9,0.5,1.6,18.6,130000,0.006989247312,2024
marina mabrey,40,30.9,14.4,5.4,13,41.3,2.5,6.5,37.7,1.2,1.7,71,0.6,3.8,4.4,4.1,1.1,0.4,2.4,13.9,217592,0.01169849462,2024
jonquel jones,39,29.9,14.2,5.3,9.8,53.8,1.5,3.9,38.8,2.1,2.7,78.8,1.7,7.3,9,3.2,0.8,1.3,2.4,21,190000,0.01021505376,2024
aliyah boston,40,30.9,14,5.9,11.2,52.9,0.2,0.7,26.9,2,2.8,73.6,2.8,6.1,8.9,3.2,0.9,1.2,2,20.2,75792,0.00407483871,2024
brionna jones,40,27.2,13.7,5.5,10.2,53.8,0.1,0.4,14.3,2.7,3.6,73.8,2.2,3.4,5.5,1.5,1.2,0.6,1.3,15.5,212000,0.01139784946,2024
angel reese,34,32.5,13.6,4.8,12.3,39.1,0.1,0.5,18.8,3.9,5.2,73.6,5.1,8.1,13.1,1.9,1.3,0.5,2.2,19.2,73439,0.003948333333,2024
rickea jackson,40,28.8,13.4,5,11,45.6,1.1,3.1,34.7,2.3,2.9,80.7,1.3,2.6,3.9,1.5,0.7,0.4,1.9,11.3,76535,0.004114784946,2024
dijonai carrington,39,29.6,12.7,4.4,11,40.3,0.7,2.7,25,3.2,4,79,1.4,3.7,5,1.6,1.6,0.4,1.9,12,78469,0.004218763441,2024
betnijah laney-hamilton,28,30.3,11.8,4.3,9.4,45.6,1.5,3.6,40.2,1.7,1.9,90.6,1.1,3.1,4.2,3.3,1.1,0,2.4,12.8,180000,0.009677419355,2024
teaira mccowan,39,25.2,11.7,4.7,8.3,57,0,0.1,25,2.3,3.2,71.8,2.9,5.2,8.1,1.6,0.9,0.9,2,16.7,195700,0.01052150538,2024
ezi magbegor,37,30.7,11.7,4.6,9.1,51.2,0.4,1.4,24.5,2.1,2.4,87.4,2.2,5.8,8,2,1.1,2.2,1.4,18.8,155000,0.008333333333,2024
natasha cloud,38,33.3,11.5,4,10.1,39.7,1.2,3.8,30.8,2.4,2.9,82.6,0.5,3.6,4.1,6.9,1.4,0.6,3,14.9,200000,0.01075268817,2024
courtney williams,40,26.5,11.1,4.9,11,44.3,0.6,1.7,33.3,0.9,1.1,81,0.4,4.3,4.7,5.5,0.9,0.4,2.5,13.9,175000,0.009408602151,2024
alyssa thomas,40,32.4,10.6,4.2,8.2,50.9,0,0.1,0,2.3,3.6,62.8,2.5,6,8.4,7.9,1.6,0.5,3.6,20,218000,0.01172043011,2024
nalyssa smith,40,24.8,10.6,4.2,8.8,48,0.4,1.2,29.2,1.8,3.2,56.7,1.8,5.3,7.1,1,0.8,1,1.3,13.2,80943,0.004351774194,2024
tyasha harris,39,28.8,10.5,3.7,8.7,42.5,1.5,3.9,39.5,1.5,2,76.6,0.3,1.5,1.8,3,1,0.3,1.4,9.8,97100,0.005220430108,2024
alanna smith,39,26.5,10.1,3.8,8,47.1,1.2,3,39.8,1.4,1.8,75,1.6,4.1,5.6,3.2,1.4,1.5,1.9,15.1,150000,0.008064516129,2024
kamilla cardoso,32,27.4,9.8,3.9,7.6,52.1,0,0,0,1.9,2.6,72.6,3,4.9,7.9,1.7,0.5,1.4,1.5,15.5,76535,0.004114784946,2024
bridget carleton,39,29.9,9.6,3.2,7.3,44.4,2.3,5.3,44.4,0.8,1,78.9,0.9,2.8,3.8,2.2,1,0.3,1,11.6,125000,0.006720430108,2024
stefanie dolson,39,26,9.5,3.4,7.2,47.5,1.8,4,46.5,0.8,1.1,78.6,0.8,4.1,4.9,2.6,0.5,0.5,1.7,12.3,185000,0.009946236559,2024
tiffany hayes,33,21.5,9.5,3.3,6.7,50,1,2.5,40.2,1.8,2.5,71.4,0.8,2,2.8,2.1,0.8,0.3,0.8,10.5,88000,0.004731182796,2024
karlie samuelson,29,24.6,8.4,2.7,6.7,40.9,1.7,4.2,39.8,1.2,1.3,92.3,0.5,2,2.6,2.1,0.9,0,0.9,9.1,125000,0.006720430108,2024
sophie cunningham,40,27.7,8.4,2.6,6,42.9,1.7,4.5,37.8,1.5,1.7,87,0.4,3.5,3.9,2,1,0.3,1,10.9,189500,0.01018817204,2024
myisha hines-allen,40,18.7,7.8,3,6.1,49.2,0.5,1.3,36,1.4,1.7,83.3,1.1,3.6,4.7,2.6,0.7,0.1,1.4,11,180200,0.009688172043,2024
aaliyah edwards,34,21.8,7.6,3,6.2,49,0,0.2,0,1.5,2.4,65,1.4,4.2,5.6,1.4,0.7,0.8,1.5,10.7,73439,0.003948333333,2024
kia nurse,40,20.3,7.6,2.6,6.6,38.8,1.3,4,33.1,1.2,1.5,79.3,0.4,1.2,1.6,1.3,0.5,0,1.2,5.5,142500,0.007661290323,2024
shatori walker-kimbrough,40,22.1,7.5,2.6,6.3,41.5,0.9,2.7,33,1.4,1.7,80.6,0.3,1.4,1.7,1.9,1.1,0.5,1.4,7.2,97850,0.005260752688,2024
monique billings,37,22.8,7.4,2.9,6.2,46.5,0.1,0.4,21.4,1.5,1.9,80.3,1.8,4,5.8,1.4,0.7,0.5,1.8,10.4,35237,0.001894462366,2024
monique billings,37,22.8,7.4,2.9,6.2,46.5,0.1,0.4,21.4,1.5,1.9,80.3,1.8,4,5.8,1.4,0.7,0.5,1.8,10.4,5304,0.0002851612903,2024
monique billings,37,22.8,7.4,2.9,6.2,46.5,0.1,0.4,21.4,1.5,1.9,80.3,1.8,4,5.8,1.4,0.7,0.5,1.8,10.4,19702,0.001059247312,2024
julie vanloo,40,23.2,7.4,2.7,7.7,34.6,1.8,5.6,32.4,0.3,0.4,66.7,0.1,1.5,1.6,4.3,0.5,0,2.6,6.1,64154,0.003449139785,2024
dana evans,39,19.1,7.2,2.4,6.5,37.7,1.1,2.8,37.6,1.2,1.3,96,0.1,1,1.1,2.4,0.7,0.1,1.4,6,78469,0.004218763441,2024
jordan horston,39,22.3,6.8,2.8,5.8,49.3,0.3,1.3,25,0.8,1.1,72.1,1.2,3.1,4.3,1.8,1.3,0.7,1.7,9.9,69663,0.003745322581,2024
leonie fiebich,40,20.9,6.7,2.4,5.1,47.8,1.4,3.2,43.3,0.5,0.6,72,1,2.1,3,1.8,1,0.2,1,8.7,67249,0.003615537634,2024
michaela onyenwere,34,18.7,6.6,2.6,6.2,41.5,0.7,2,36.8,0.7,1.2,61,0.6,1.3,1.8,1,0.6,0.4,1.3,5,85690,0.004606989247,2024
lindsay allen,40,23.8,6.6,2.6,5.6,46.6,0.4,1.2,29.2,1.1,1.3,80.8,0.3,1.7,2,3.9,0.8,0.2,1.6,8.7,90000,0.004838709677,2024
