Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,#ERROR!,SALARY,Player_Comp_Share
55,Glen Davis,ORL,27,34,13,21,31.3,15.1,6.3,14.1,44.8,0,0.1,0,2.5,3.4,71.8,1.6,5.6,7.2,2.1,1.9,0.9,0.6,2.6,29.6,10,0,-0.8,6400000,0.002751977984
56,Thaddeus Young,PHI,25,76,33,43,34.6,14.8,6.7,12.6,53.1,0,0.1,12.5,1.4,2.5,57.4,2.4,5.1,7.5,1.6,1.2,1.8,0.7,2.5,32.5,21,0,-0.4,8289130,0.003564297386
57,Wesley Matthews,POR,26,69,28,41,34.8,14.8,5.1,11.7,43.6,2.4,6.2,39.8,2.2,2.7,79.7,0.5,2.3,2.8,2.5,1.6,1.3,0.3,2.5,25,1,0,-1.2,6505320,0.002797265222
58,Kevin Garnett,BOS,37,68,36,32,29.7,14.8,6.2,12.5,49.6,0,0.2,12.5,2.3,3,78.6,1.1,6.7,7.8,2.3,1.6,1.1,0.9,2.3,32.2,19,0,1.6,11566265,0.004973454162
59,Goran Dragic,PHX,27,77,25,52,33.5,14.7,5.2,11.8,44.3,1.1,3.6,31.9,3.2,4.2,74.8,0.8,2.3,3.1,7.4,2.8,1.6,0.3,2.8,32.6,19,0,-3.1,7500000,0.0032249742
60,Jameer Nelson,ORL,31,56,17,39,35.3,14.7,5.5,13.9,39.2,2.2,6.3,34.1,1.6,1.8,87.3,0.4,3.3,3.7,7.4,2.8,1.3,0.1,2.9,31.6,14,0,-3,8600000,0.003697970416
61,Dion Waiters,CLE,21,61,20,41,28.8,14.7,5.5,13.4,41.2,1,3.3,31,2.6,3.5,74.6,0.4,2.1,2.4,3,2,1,0.3,1.9,23.8,0,0,-2.5,3726600,0.001602425181
62,Mike Conley,MEM,25,80,54,26,34.5,14.6,5.2,11.8,44,1.3,3.7,36.2,2.9,3.5,83,0.5,2.3,2.8,6.1,2.4,2.2,0.3,2.1,32.2,7,0,6.3,7505786,0.00322746216
63,Jeff Teague,ATL,25,80,43,37,32.9,14.6,5.5,12.2,45.1,1.1,3.1,35.9,2.5,2.8,88.1,0.3,1.9,2.3,7.2,2.9,1.5,0.4,2.3,30.7,15,0,0.9,2433077,0.00104621474
64,Paul Millsap,UTA,28,78,41,37,30.4,14.6,5.5,11.2,49,0.2,0.5,33.3,3.4,4.6,74.2,2.3,4.8,7.1,2.6,1.8,1.3,1,3,32.2,15,0,0.1,8603633,0.003699532594
65,Ramon Sessions,CHA,27,61,13,48,27.1,14.4,4.5,11.1,40.8,0.5,1.8,30.8,4.8,5.7,83.9,0.4,2.3,2.8,3.8,1.7,0.8,0.1,1.5,24.3,0,0,-6.2,5000000,0.0021499828
