PLAYER,Season,Tier,Performance_Index
kierstan bell,2023,10,30.22
rui machida,2022,10,30.22
awak kuier,2022,10,30.09
shatori walker-kimbrough,2025,10,29.83
reshanda gray,2022,10,29.06
kiah stokes,2023,10,28.87
makayla timpson,2025,10,28.62
kiah stokes,2025,10,27.89
kennedy burke,2021,10,27.06
didi richards,2021,10,26.64
mikiah herbert harrigan,2024,10,26.01
kadi sissoko,2023,10,25.45
odyssey sims,2023,10,25.11
odyssey sims,2023,10,25.11
nia clouden,2022,10,24.39
lorela cubaj,2024,10,23.19
shekinna stricklen,2021,10,17.98
beatrice mompremier,2021,10,17.26
cayla george,2023,10,0.0
