,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,#ERROR!,SALARY,Player_Comp_Share
223,Travis Diener,IND,26,66,28,38,20.5,6.9,2.4,6.5,37,1.1,3.5,31.8,1,1.1,90.1,0.4,1.3,1.7,3.8,0.8,0.5,0.1,1.6,15.6,1,0,-0.8,1500000,0.0003
224,Channing Frye,POR,25,78,40,38,17.2,6.8,2.8,5.8,48.8,0,0.1,30,1.1,1.4,78,1.4,3.2,4.5,0.7,0.7,0.4,0.3,2.7,14.8,3,0,0.6,2487240,0.000497448
225,Tyrus Thomas,CHI,21,74,27,47,18,6.8,2.5,5.9,42.3,0,0.1,16.7,1.7,2.4,74.1,1.4,3.2,4.6,1.2,1,0.6,1,2.3,18,6,0,-0.4,3505320,0.000701064
226,Jarvis Hayes,DET,26,82,59,23,15.7,6.7,2.6,6.1,43.1,0.9,2.4,37.6,0.5,0.7,75,0.4,1.7,2.2,0.8,0.6,0.6,0.1,1.7,11.8,0,0,1.1,1200000,0.00024
227,Thabo Sefolosha,CHI,24,69,27,42,20.8,6.7,2.6,6.1,42.8,0.4,1.3,33,1.1,1.5,72.1,0.7,3,3.7,1.9,1.3,0.9,0.4,1.9,16.6,3,0,-1.5,1805160,0.000361032
228,Shawne Williams,IND,22,65,25,40,14.9,6.7,2.4,5.7,42.7,0.7,2.1,31.4,1.2,1.6,71.7,0.8,1.9,2.7,0.9,0.9,0.4,0.4,2,12.8,1,0,-0.7,1470360,0.000294072
229,Anderson Varejao,CLE,25,48,28,20,27.5,6.7,2.8,6.1,46.1,0,0,0,1,1.7,59.8,2.8,5.5,8.3,1.1,1.2,0.8,0.5,2.8,21,6,0,1.6,5356000,0.0010712
230,Matt Barnes,GSW,28,73,42,31,19.4,6.7,2.6,6.1,42.3,0.7,2.5,29.3,0.8,1.1,74.7,1.3,3.2,4.4,1.9,1.2,0.7,0.5,2.2,17.1,2,0,0,3000000,0.0006
231,Marcus Banks,MIA,26,36,21,15,15.8,6.6,2.4,5.3,45,1.1,2.8,39.2,0.8,1,77.1,0.1,1.1,1.3,1.7,1,0.4,0.4,1.8,11.9,0,0,-2.5,3966207,0.0007932414
232,Nenad Krstic,NJN,24,45,17,28,18,6.6,2.7,6.7,41,0,0,0,1.2,1.5,75.4,0.8,3.7,4.4,0.6,0.9,0.2,0.4,2.5,13.7,3,0,-1.8,1889760,0.000377952
233,Ronny Turiaf,LAL,25,78,53,25,18.7,6.6,2.4,5.1,47.4,0,0,0,1.8,2.4,75.3,1.2,2.7,3.9,1.6,0.9,0.4,1.4,2.6,18.1,0,0,1.7,770610,0.000154122
234,Joakim Noah,CHI,23,74,31,43,20.7,6.6,2.4,5,48.2,0,0,0,1.8,2.6,69.1,2.4,3.3,5.6,1.1,1.2,0.9,0.9,2.3,19.2,8,0,-0.4,2135400,0.00042708
235,Tony Allen,BOS,26,75,61,14,18.3,6.6,2.3,5.2,43.4,0.2,0.8,31.6,1.8,2.4,76.2,0.5,1.8,2.2,1.5,1.5,0.8,0.3,2.2,13.4,0,0,2.9,1868141,0.0003736282
236,Damon Jones,CLE,31,67,35,32,19.9,6.5,2.3,5.4,41.6,1.7,4.1,41.7,0.3,0.4,71.4,0.1,1,1.1,1.9,0.5,0.3,0,1,11,0,0,0.9,4172432,0.0008344864
237,Luke Ridnour,SEA,27,61,14,47,20,6.4,2.4,6,39.9,0.3,1.2,29.6,1.3,1.5,85.7,0.2,1.3,1.5,4,1.3,0.6,0.2,2,15.4,1,0,-2.7,6500000,0.0013
