,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,#ERROR!,SALARY,Player_Comp_Share
148,Jamal Crawford,CHI,22,23,5,18,20.9,9.3,3.9,8.1,47.6,1.1,2.5,44.8,0.4,0.6,76.9,0.2,1.3,1.5,2.4,1.4,0.8,0.2,0.8,16.3,0,0,-5.7,1894000,0.001294600137
149,Isaiah Rider,DEN,31,10,5,5,17.4,9.3,3.7,8.1,45.7,0.6,1.5,40,1.3,1.7,76.5,1,2.3,3.3,1.2,1.4,0.3,0.2,1.1,15.2,1,0,2.5,,
150,Antonio Daniels,SAS,27,82,58,24,26.5,9.2,3.3,7.5,44,0.7,2.4,29.1,1.9,2.6,75.2,0.3,1.9,2.1,2.8,0.9,0.6,0.1,1.3,17.3,0,0,3.2,3000000,0.002050580998
151,Tony Parker,SAS,20,77,55,22,29.5,9.2,3.5,8.3,41.9,0.8,2.5,32.3,1.4,2.1,67.5,0.4,2.1,2.6,4.3,2,1.2,0.1,2.2,20.5,2,0,2.2,744000,0.0005085440875
152,Lucious Harris,NJN,31,74,46,28,21,9.1,3.4,7.3,46.4,0.6,1.6,37.3,1.8,2.1,84.2,0.7,2.1,2.8,1.6,0.8,0.7,0.1,1.3,16.4,0,0,1.4,2400000,0.001640464798
153,Eddie Robinson,CHI,26,29,5,24,22.5,9,3.9,8.5,45.3,0.1,0.2,40,1.2,1.7,75,0.8,1.9,2.7,1.3,1.2,0.8,0.4,1.2,16.5,0,0,-4.6,5205000,0.003557758031
154,Jon Barry,DET,32,82,50,32,24.3,9,3.1,6.4,48.8,1.5,3.1,46.9,1.3,1.4,93.1,0.5,2.3,2.9,3.3,1.4,1.1,0.2,1.6,20.3,1,0,1.9,3175000,0.002170198223
155,Anthony Peeler,MIN,32,82,50,32,25.1,9,3.5,8.3,42.1,1.4,3.5,39.2,0.6,0.7,86.2,0.5,2.1,2.5,2.2,0.9,0.7,0.1,1.7,16.9,0,0,0.2,2978000,0.002035543404
156,Dion Glover,ATL,23,55,20,35,21,8.9,3.5,8.3,42.1,0.5,1.7,33,1.4,1.9,75.7,0.7,2.4,3.1,1.5,1.4,0.8,0.3,1.6,16.8,1,0,-4.6,1027000,0.0007019822283
157,Clar. Weatherspoon,NYK,31,56,21,35,30.8,8.8,3.4,8.1,41.8,0,0,0,2.1,2.6,79.5,2.7,5.6,8.2,1.1,0.8,0.7,0.9,2.4,24,12,0,-3.3,,
158,Eric Piatkowski,LAC,31,71,32,39,24.2,8.8,2.9,6.6,43.9,1.6,3.4,46.6,1.4,1.6,89.4,0.6,2,2.6,1.6,0.9,0.6,0.2,1.5,15.6,1,0,-0.5,3000000,0.002050580998
159,Eddie Griffin,HOU,20,73,23,50,26,8.8,3.3,9.1,36.6,1.2,3.7,33,0.9,1.2,74.4,1.6,4.1,5.7,0.7,0.6,0.2,1.8,1.6,22.3,7,0,-2.2,2011000,0.001374572796
160,George McCloud,DEN,35,69,22,47,26.5,8.8,3,8.3,35.8,0.9,3.2,27,1.9,2.4,81,1,2.7,3.6,3,2.1,0.8,0.3,2.5,18.8,2,0,-4.8,2400000,0.001640464798
161,Trenton Hassell,CHI,23,78,21,57,28.7,8.7,3.4,8.1,42.5,0.8,2.1,36.4,1.1,1.5,76.3,0.8,2.4,3.3,2.2,1.3,0.7,0.6,2.4,18.5,0,0,-5.9,333000,0.0002276144908
162,Theo Ratliff,ATL,29,3,0,3,27.4,8.7,3.3,6.7,50,0,0,0,2,3.7,54.5,1.7,3.7,5.3,0.3,2.3,0.3,2.7,2.7,22.2,0,0,-7.7,8593000,0.005873547505
163,Glen Rice,HOU,35,20,7,13,30.3,8.6,3.3,8.4,38.9,0.9,3.2,28.1,1.2,1.5,80,0.3,2.1,2.4,1.6,1.2,0.6,0.2,1.7,14.8,0,0,-1,8800000,0.006015037594
164,Jamaal Magloire,CHH,24,82,44,38,18.9,8.5,2.8,5,55,0,0,0,3,4.1,73,1.9,3.8,5.6,0.4,1.4,0.3,1,2.5,18.5,8,0,1.4,1048000,0.0007163362953
165,Rasho Nesterovic,MIN,26,82,50,32,27.1,8.4,4,8,49.3,0,0,0,0.5,0.9,54.9,2.4,4.1,6.5,0.9,1.1,0.5,1.3,3.2,22.1,12,0,3.2,1725000,0.001179084074
166,Mark Jackson,NYK,37,82,30,52,28.8,8.4,3.2,7.2,43.9,1,2.4,40.5,1.1,1.3,79.1,0.7,3.1,3.8,7.4,1.8,0.9,0,2,24.9,11,1,-3.5,3860000,0.002638414217
167,P.J. Brown,CHH,32,80,43,37,32,8.4,3.1,6.6,47.4,0,0,0,2.1,2.5,85.8,3.4,6.4,9.8,1.3,1.1,0.7,1,2.8,26.2,17,0,1.8,6404000,0.004377306904
168,DerMarr Johnson,ATL,22,72,27,45,23.9,8.4,3,7.5,39.6,1.2,3.4,36,1.2,1.5,81,0.8,2.6,3.4,1.1,1.4,0.9,0.8,2.3,17.7,2,0,-1.2,2265000,0.001548188653
169,Jumaine Jones,CLE,23,81,28,53,26.5,8.3,3.5,7.9,44.8,0.6,2.1,31,0.6,0.8,66.2,1.5,4.5,6,1.4,1,0.9,0.6,2.3,21.2,10,0,-1.4,786000,0.0005372522215
170,Moochie Norris,HOU,28,82,28,54,27.4,8.1,3.1,7.7,39.8,0.4,1.6,26.9,1.5,2.1,75.1,0.9,2.1,3,4.9,1.9,1,0,1.6,20.3,5,0,-2.4,3600000,0.002460697198
171,Ira Newble,ATL,27,42,19,23,30.3,8,3.1,6.3,49.8,0,0.2,14.3,1.8,2.1,85.2,1.9,3.4,5.3,1.1,1.2,0.9,0.5,2.8,19,2,0,0.1,,
172,Tyrone Hill,CLE,34,26,11,15,31.1,8,2.7,7,39,0,0,0,2.6,4,65,3,7.5,10.5,0.9,1.8,0.7,0.5,3.9,23.6,9,0,-1.6,6600000,0.004511278195
173,Eddie House,MIA,24,64,23,41,19.2,8,3.3,8.2,39.9,0.8,2.5,34.4,0.7,0.8,85.7,0.3,1.5,1.7,1.9,1.3,0.7,0.1,1.5,14,0,0,-0.8,465000,0.0003178400547
174,Horace Grant,ORL,36,76,41,35,29.1,8,3.5,6.8,51.3,0,0,0,1.1,1.5,72.1,2.1,4.2,6.3,1.4,0.7,0.8,0.6,1.6,21.2,5,0,3,2419000,0.001653451811
175,Greg Anthony,MIL,34,60,16,44,25.2,7.9,3.1,7.9,38.5,0.8,2.7,29.4,1,1.5,65.9,0.4,1.8,2.2,4.7,1.6,1.3,0.1,1.9,20.1,1,0,-4.5,3940000,0.002693096377
176,Avery Johnson,DAL,37,68,27,41,19.9,7.9,3,6.4,47.9,0,0.1,0,1.8,2.4,74.2,0.2,0.8,1,4.2,1.1,0.6,0.1,1.3,16.4,6,0,-2.3,4538000,0.003101845523
177,Rick Fox,LAL,32,82,58,24,27.9,7.9,3.1,7.4,42.1,0.8,2.5,31.3,0.9,1,82.4,1.1,3.6,4.7,3.5,1.6,0.8,0.3,3,20.3,1,0,3.1,3791000,0.002591250854
178,Travis Best,CHI,29,74,30,44,23.7,7.9,3.1,7,44,0.3,0.8,35.6,1.4,1.6,89.7,0.3,1.8,2,4.4,1.3,1.2,0.1,2.3,19.4,0,0,-1.8,3250000,0.002221462748
