Unnamed: 0,PLAYER,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Salary,Player_Comp_Share
161,Sam Hauser,BOS,25,15,9,6,6.9,2,0.7,1.9,34.5,0.5,1.6,33.3,0.1,0.1,100,0.3,0.8,1.1,0.3,0,0.1,0.1,0.5,4.4,0,0,1.7,1563518,0.0002955610586
164,Tristan Thompson,LAL,32,6,2,4,5.4,1.8,0.8,1.8,45.5,0,0,0,0.2,0.8,20,0.7,1,1.7,0.3,0.2,0,0,0.2,4.2,0,0,1.3,10552,1.99E-06
164,Troy Brown Jr.,LAL,23,12,7,5,10.4,1.8,0.8,2.3,35.7,0.2,1.3,13.3,0,0,0,0.3,1.7,2,0.9,0,0.2,0.1,0.3,6.4,0,0,-1.4,1836090,0.0003470869565
166,Jae Crowder,MIL,32,4,1,3,10.2,1.8,0.8,3.3,23.1,0,1.5,0,0.3,0.5,50,0.3,0.8,1,0.8,0.3,0.5,0,1.3,5.3,0,0,-4.5,10183000,0.001924952741
166,Joe Harris,BKN,31,4,0,4,10.9,1.8,0.5,3.3,15.4,0.3,3,8.3,0.5,0.5,100,0,1.3,1.3,0,0.8,0.5,0,1.3,4,0,0,3.8,18642857,0.003524169565
166,Kenneth Lofton Jr.,MEM,20,4,2,2,3,1.8,0.8,2,37.5,0,0.5,0,0.3,0.5,50,0.3,0.5,0.8,0.3,0,0,0,0,3,0,0,-2.3,1000000,0.0001890359168
169,Mike Muscala,BOS,31,6,3,3,3.5,1.5,0.3,0.7,50,0.3,0.7,50,0.5,0.7,75,0.5,0.2,0.7,0.2,0.2,0,0,0.2,2.4,0,0,1.8,3500000,0.0006616257089
170,Max Christie,LAL,20,9,4,5,3.7,1.4,0.6,1.1,50,0.1,0.4,25,0.2,0.4,50,0.1,0.7,0.8,0.3,0,0,0.1,0,3.2,0,0,1.8,1017781,0.0001923971645
171,Shake Milton,PHI,26,6,3,3,3.5,1.3,0.5,0.8,60,0,0.2,0,0.3,0.3,100,0,0.5,0.5,0.3,0.2,0.3,0,0.5,3.3,0,0,-0.7,1977718,0.0003738597353
172,DeAndre Jordan,DEN,34,4,3,1,3.4,1.3,0.5,0.8,66.7,0,0,0,0.3,0.5,50,0,1,1,0.3,0.5,0,0.3,0.5,3.1,0,0,1.8,1836090,0.0003470869565
172,Jevon Carter,MIL,27,4,1,3,12.3,1.3,0.5,2.3,22.2,0.3,1.8,14.3,0,0,0,0,1,1,1,0,0.3,0,0.3,4.7,0,0,-3.8,2100000,0.0003969754253
172,Shaquille Harrison,LAL,29,8,3,5,3.5,1.3,0.5,0.9,57.1,0.1,0.1,100,0.1,0.3,50,0,0.4,0.4,1.1,0,0.3,0,0.4,4.1,0,0,0.3,12260,2.32E-06
172,Ziaire Williams,MEM,21,4,2,2,3,1.3,0.5,1.8,28.6,0.3,0.8,33.3,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0.3,2.1,0,0,-2.3,4591680,0.0008679924386
176,Dean Wade,CLE,26,2,0,2,5.6,1,0,0.5,0,0,0.5,0,1,1,100,0,1.5,1.5,0,0,0,0,0,2.8,0,0,-4,1930681,0.0003649680529
176,Nathan Knight,MIN,25,2,0,2,2.4,1,0.5,2,25,0,1,0,0,0,0,0.5,0,0.5,0,0.5,0,0,0,1.1,0,0,-1.5,1836090,0.0003470869565
176,Peyton Watson,DEN,20,5,5,0,2.7,1,0.4,1,40,0.2,0.4,50,0,0,0,0.2,0.6,0.8,0.2,0.2,0,0.2,0.4,2.7,0,0,-1.2,2193960,0.0004147372401
176,Wenyen Gabriel,LAL,26,10,6,4,3.7,1,0.4,1,40,0,0,0,0.2,0.3,66.7,0.8,0.1,0.9,0,0.2,0.2,0.3,0.8,3.4,0,0,-1,1878720,0.0003551455577
176,Zeke Nnaji,DEN,22,5,5,0,2.4,1,0.4,0.8,50,0.2,0.6,33.3,0,0,0,0,0.4,0.4,0,0.2,0.2,0,0,1.9,0,0,-1.2,2498760,0.0004723553875
181,Anthony Lamb,GSW,25,6,3,3,5.2,0.8,0.3,0.8,40,0.2,0.7,25,0,0,0,0.2,0.8,1,0,0.3,0.2,0.2,0.5,2.7,0,0,-0.7,,
182,John Konchar,MEM,27,5,2,3,9.7,0.8,0.4,1.8,22.2,0,0.8,0,0,0,0,0.8,1.2,2,0.8,0.2,0.4,0.4,1.2,6.6,0,0,-4.6,2300000,0.0004347826087
183,Danny Green,CLE,36,4,1,3,9.9,0.8,0.3,1.3,20,0.3,1,25,0,0,0,0.5,1.3,1.8,0.3,0.5,0.5,0.3,1.8,5,0,0,-3.3,2000000,0.0003780718336
