PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,#ERROR!,SALARY,Player_Comp_Share
Jeff Green,MEM,28,78,41,37,31.5,15,5.3,12.4,43,1.2,3.7,33.2,3.1,3.7,83.3,0.8,3.4,4.2,1.7,1.4,0.7,0.4,1.9,24.6,1,0,-1.7,9200000,0.00614973262
Andrea Bargnani,NYK,29,29,5,24,27.1,14.8,5.7,12.4,45.4,0.5,1.4,36.6,3,3.7,81.3,1.1,3.3,4.4,1.6,1.4,0.1,0.9,1.8,24,2,0,-9.3,11500000,0.007687165775
Jrue Holiday,NOP,25,40,20,20,32.6,14.8,6,13.4,44.6,1.3,3.4,37.8,1.6,1.9,85.5,0.8,2.6,3.4,6.9,2.3,1.6,0.6,2.8,33.3,5,0,2.5,9904495,0.006620651738
Michael Carter-Williams,MIL,23,66,21,45,32.6,14.6,5.5,13.9,39.6,0.5,2.3,23.5,3.1,4.4,69.4,1,4.4,5.3,6.7,3.8,1.7,0.5,2.5,33.7,11,3,-2.5,2300040,0.001537459893
Reggie Jackson,DET,25,77,37,40,29.5,14.5,5.6,12.9,43.4,0.9,3.1,29.9,2.4,2.8,83,0.7,3.5,4.2,6,2.4,0.8,0.1,2.2,29,15,2,1.5,2204369,0.00147350869
Joe Johnson,BKN,34,80,38,42,34.9,14.4,5.6,12.8,43.5,1.5,4.2,35.9,1.8,2.2,80.1,0.7,4.1,4.8,3.7,1.7,0.7,0.2,1.5,26.7,3,0,-1.5,23180790,0.01549518048
Tony Parker,SAS,33,68,48,20,28.7,14.4,5.9,12.2,48.6,0.6,1.3,42.7,1.9,2.4,78.3,0.2,1.7,1.9,4.9,2.1,0.6,0,1.6,23.9,1,0,2.9,12500000,0.008355614973
Serge Ibaka,OKC,25,64,35,29,33.1,14.3,5.8,12.3,47.6,1.2,3.2,37.6,1.4,1.7,83.6,2.1,5.7,7.8,0.9,1.5,0.5,2.4,3,32.1,17,0,2.5,12350000,0.008255347594
Mo Williams,CHA,32,68,20,48,29.1,14.2,5,12.6,39.7,1.8,5.1,34.2,2.4,2.8,87.2,0.3,2.2,2.6,6.2,2.5,0.7,0.2,2.4,26.7,13,0,-1.5,3965074,0.002650450535
Thaddeus Young,BKN,27,76,25,51,32,14.1,5.9,12.7,46.6,0.5,1.5,33,1.7,2.6,65.5,1.7,3.7,5.4,2.3,1.5,1.6,0.3,2.3,28.3,3,0,-2.8,9410869,0.006290687834
Luol Deng,MIA,30,72,33,39,33.6,14,5.1,10.9,46.9,1.1,3.1,35.5,2.7,3.5,76.1,1.4,3.8,5.2,1.9,1.5,0.9,0.3,1.5,25.3,5,0,-0.1,9714461,0.006493623663
Wilson Chandler,DEN,28,78,28,50,31.7,13.9,5.4,12.5,42.9,1.8,5.2,34.2,1.4,1.8,77.5,1.2,4.9,6.1,1.7,1.4,0.7,0.4,3,25.7,8,0,-2.8,6757913,0.004517321524
Avery Bradley,BOS,24,77,37,40,31.5,13.9,5.6,13.2,42.8,1.6,4.6,35.2,1,1.3,79,0.6,2.5,3.1,1.8,1.4,1.1,0.2,2.3,22.7,1,0,-1.1,7191011,0.004806825535
Tim Duncan,SAS,39,77,53,24,28.9,13.9,5.4,10.6,51.2,0,0.1,28.6,3,4,74,2.2,6.9,9.1,3,1.7,0.8,2,2.1,36,33,1,4,10361446,0.006926100267
Alec Burks,UTA,23,27,9,18,33.3,13.9,4.5,11.1,40.3,1,2.5,38.2,3.9,4.8,82.2,0.7,3.5,4.2,3,1.9,0.6,0.2,2.4,24,2,0,-4.8,3034356,0.002028312834
Alec Burks,UTA,23,27,9,18,33.3,13.9,4.5,11.1,40.3,1,2.5,38.2,3.9,4.8,82.2,0.7,3.5,4.2,3,1.9,0.6,0.2,2.4,24,2,0,-4.8,3034356,0.002028312834
Andre Drummond,DET,21,82,32,50,30.5,13.8,6,11.7,51.4,0,0,0,1.7,4.5,38.9,5.3,8.1,13.5,0.7,1.5,0.9,1.9,3.5,37.7,48,0,-0.7,2568360,0.001716818182
Andre Drummond,DET,21,82,32,50,30.5,13.8,6,11.7,51.4,0,0,0,1.7,4.5,38.9,5.3,8.1,13.5,0.7,1.5,0.9,1.9,3.5,37.7,48,0,-0.7,2568360,0.001716818182
Ryan Anderson,NOP,27,61,33,28,27.5,13.7,4.8,12,39.9,2,5.9,34,2.1,2.5,85.4,1.8,3.1,4.8,0.9,1,0.5,0.3,1.9,22.4,3,0,-0.3,8491500,0.005676136364
Shabazz Muhammad,MIN,22,38,6,32,22.8,13.5,5.1,10.4,48.9,0.5,1.3,39.2,2.7,3.8,71.7,1.7,2.4,4.1,1.2,0.9,0.5,0.2,1.3,21.1,1,0,-4.2,1971960,0.00131815508
Robert Covington,PHI,24,70,18,52,27.9,13.5,4.3,10.8,39.6,2.4,6.4,37.4,2.5,3.1,82,0.9,3.6,4.5,1.5,1.8,1.4,0.4,2.7,24.8,1,0,-2.1,1000000,0.0006684491979
CJ Miles,IND,28,70,31,39,26.3,13.5,4.7,11.8,39.8,2.2,6.4,34.5,1.9,2.3,80.7,0.3,2.8,3.1,1.1,1,0.9,0.4,1.9,21.4,1,0,2.3,4205000,0.002810828877
Eric Gordon,NOP,26,61,35,26,33.1,13.4,4.7,11.4,41.1,2.3,5.2,44.8,1.8,2.2,80.5,0.5,2.1,2.6,3.8,2,0.8,0.2,2.4,23.3,1,0,1.1,14898938,0.009959183155
Nick Young,LAL,30,42,12,30,23.8,13.4,4.1,11.3,36.6,2,5.4,36.9,3.1,3.5,89.2,0.4,1.9,2.3,1,1,0.5,0.3,2,19,0,0,-1.6,4994420,0.003338516043
Khris Middleton,MIL,23,79,40,39,30.1,13.4,5.1,11,46.7,1.4,3.4,40.7,1.7,2,85.9,0.6,3.8,4.4,2.3,1.4,1.5,0.1,2.3,25.7,1,0,4.1,915243,0.0006117934492
