PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,#ERROR!,SALARY,Player_Comp_Share
Matthew Dellavedova,CLE,24,67,43,24,20.6,4.8,1.7,4.6,36.2,1,2.5,40.7,0.4,0.6,76.3,0.6,1.3,1.9,3,0.9,0.4,0,2.3,11.8,2,0,0.6,816482,0.000545776738
Bismack Biyombo,CHA,22,64,26,38,19.4,4.8,1.6,2.9,54.3,0,0,0,1.6,2.7,58.3,2.5,3.9,6.4,0.3,0.8,0.3,1.5,2.2,17.4,6,0,-0.5,3873398,0.002589169786
Damjan Rudez,IND,29,68,28,40,15.4,4.8,1.8,3.9,45.2,1,2.5,40.6,0.2,0.3,69.6,0.1,0.6,0.7,0.8,0.7,0.2,0.1,1.2,7,0,0,0.5,1100000,0.0007352941176
John Lucas III,DET,32,21,8,13,12.9,4.7,2,5,40.4,0.4,1.4,31,0.2,0.2,100,0.2,0.6,0.8,2.9,0.8,0.4,0,0.9,10.2,0,0,-2.2,269189,0.0001799391711
Jordan Farmar,LAC,28,36,23,13,14.7,4.6,1.7,4.4,38.6,1,2.7,36.1,0.3,0.3,90.9,0.2,0.9,1.2,1.9,0.9,0.6,0.1,1.4,10,0,0,-1.2,2077000,0.001388368984
Sergey Karasev,BKN,21,33,12,21,16.8,4.6,1.6,4.1,40.3,0.5,1.6,29.6,0.9,1.2,76.3,0.7,1.3,2,1.4,0.7,0.7,0,1.4,10.6,0,0,0.5,1533840,0.001025294118
JaVale McGee,DEN,27,23,8,15,11.1,4.6,1.8,3.4,53.2,0,0,0,1,1.4,66.7,0.8,1.9,2.7,0.1,0.8,0.1,0.9,1.3,10.1,0,0,-3,11250000,0.007520053476
Markel Brown,BKN,23,47,23,24,16.6,4.6,1.6,4.5,36.2,0.4,1.4,26.6,1,1.2,82.5,0.3,1.9,2.3,0.8,0.6,0.7,0.3,1.2,10.7,1,0,-0.5,507336,0.0003391283422
Robert Sacre,LAL,26,67,19,48,16.9,4.6,1.9,4.6,41.2,0,0,0,0.8,1.2,67.1,1.3,2.1,3.5,0.8,0.5,0.4,0.6,1.8,12.6,0,0,-1,915243,0.0006117934492
Dorell Wright,POR,29,48,28,20,12.3,4.6,1.5,4,37.9,0.9,2.3,38,0.7,0.9,81,0.3,2,2.3,0.9,0.4,0.4,0.2,1.1,10.2,0,0,1.6,3150000,0.002105614973
Dorell Wright,POR,29,48,28,20,12.3,4.6,1.5,4,37.9,0.9,2.3,38,0.7,0.9,81,0.3,2,2.3,0.9,0.4,0.4,0.2,1.1,10.2,0,0,1.6,3150000,0.002105614973
Jannero Pargo,CHA,35,9,2,7,8.1,4.6,1.7,3.9,42.9,1,2.4,40.9,0.2,0.2,100,0,0.3,0.3,0.9,0.3,0,0,0.9,6,0,0,-0.2,915243,0.0006117934492
Jon Leuer,MEM,26,63,45,18,13.1,4.5,1.9,4.3,44.3,0.1,0.5,24.1,0.6,0.9,62.7,0.8,2.5,3.3,0.7,0.6,0.3,0.1,1.4,10.3,1,0,-0.4,967500,0.0006467245989
Arinze Onuaku,MIN,27,6,0,6,11.4,4.5,2,2.3,85.7,0,0,0,0.5,1.3,37.5,1.2,2.3,3.5,0.7,0.3,0.2,0.5,1,11.4,0,0,-3,,
Alonzo Gee,POR,28,54,21,33,12.2,4.5,1.6,3.4,46.8,0.2,0.6,37.1,1,1.4,70.1,0.7,1.1,1.7,0.5,0.6,0.6,0.1,1.1,9,0,0,-1.9,915243,0.0006117934492
Robbie Hummel,MIN,26,45,5,40,16.5,4.4,1.8,3.8,45.9,0.4,1.1,31.4,0.5,0.6,82.8,0.7,2.3,3,0.6,0.4,0.4,0.2,1.9,10.1,2,0,-3.3,880000,0.0005882352941
James Jones,CLE,34,57,35,22,11.7,4.4,1.3,3.5,36.8,1.1,3.1,36,0.7,0.8,84.8,0.2,0.9,1.1,0.4,0.2,0.2,0.1,1.2,7.2,0,0,-1.9,915243,0.0006117934492
Andre Miller,SAC,39,81,44,37,15.5,4.4,1.8,3.6,50,0.1,0.4,20.6,0.7,1,75.3,0.5,1.4,1.9,3.5,1.3,0.4,0.1,1.3,12,1,0,-1.6,4650000,0.00310828877
Jeffery Taylor,CHA,26,29,11,18,14.8,4.4,1.6,3.9,39.5,0.4,1.2,30.6,0.9,1.4,63.4,0.5,1.3,1.8,0.8,0.7,0.4,0,1.2,8.4,0,0,-4.4,915243,0.0006117934492
Nik Stauskas,SAC,21,73,26,47,15.4,4.4,1.5,4.1,36.5,0.7,2,32.2,0.8,0.9,85.9,0.2,1.1,1.2,0.9,0.5,0.3,0.2,1.3,8.2,0,0,-1.8,2745840,0.001835454545
Nik Stauskas,SAC,21,73,26,47,15.4,4.4,1.5,4.1,36.5,0.7,2,32.2,0.8,0.9,85.9,0.2,1.1,1.2,0.9,0.5,0.3,0.2,1.3,8.2,0,0,-1.8,2745840,0.001835454545
Festus Ezeli,GSW,25,46,39,7,10.9,4.4,1.7,3,54.7,0,0,0,1.1,1.7,62.8,1.3,2.1,3.4,0.2,0.7,0.2,0.9,1.7,11.2,0,0,0.3,1112880,0.0007439037433
Ian Mahinmi,IND,28,61,28,33,18.8,4.3,1.9,3.5,55.2,0,0,0,0.5,1.7,30.4,1.7,4.1,5.8,0.5,1,0.5,0.8,2.8,14.9,2,0,-0.1,4000000,0.002673796791
Steve Blake,POR,35,81,51,30,18.9,4.3,1.5,4,37.3,1,2.7,35.2,0.4,0.5,70.7,0.2,1.5,1.7,3.6,1.3,0.5,0.1,1.5,12.1,0,0,1.3,2077000,0.001388368984
Justin Holiday,GSW,26,59,49,10,11.1,4.3,1.5,4,38.7,0.6,1.8,32.1,0.6,0.8,82.2,0.2,1,1.2,0.8,0.5,0.7,0.2,0.9,9.2,0,0,-0.2,816482,0.000545776738
Perry Jones III,OKC,23,43,23,20,14.7,4.3,1.7,4.3,39.7,0.3,1.4,23.3,0.6,0.9,64.9,0.1,1.6,1.8,0.4,0.6,0.4,0.2,1.2,8.2,0,0,-3,,
Spencer Dinwiddie,DET,22,34,12,22,13.4,4.3,1.5,5,30.2,0.4,1.9,18.5,0.9,1,91.2,0.1,1.3,1.4,3.1,1,0.6,0.2,1.6,11.8,1,0,-2.1,700000,0.0004679144385
Toney Douglas,NOP,29,12,7,5,14.7,4.3,1.6,4.3,37.3,0.4,1.5,27.8,0.7,1.1,61.5,0.2,1.7,1.8,2,0.8,0.9,0.3,1.7,12.4,0,0,0.6,107676,7.20E-05
Josh McRoberts,MIA,28,17,8,9,17.4,4.2,1.6,3.1,52.8,0.5,1.1,42.1,0.5,0.8,61.5,0.4,2.2,2.6,1.9,1.3,0.7,0.2,2.4,11.7,0,0,1.9,5305000,0.003546122995
Kostas Papanikolaou,HOU,24,43,29,14,18.5,4.2,1.6,4.6,35,0.7,2.5,29.2,0.3,0.4,72.2,0.9,1.8,2.7,2,1.3,0.7,0.3,1.7,12.1,0,0,-0.9,4797664,0.003206994652
Kendall Marshall,MIL,23,28,13,15,14.9,4.2,1.6,3.6,45.5,0.6,1.6,39.1,0.3,0.3,88.9,0.1,0.9,1,3.1,1.3,0.8,0,0.9,11,0,0,2,915243,0.0006117934492
Udonis Haslem,MIA,35,62,31,31,16,4.2,1.7,3.9,44.8,0,0.2,20,0.7,1,70.3,1.1,3,4.2,0.7,0.7,0.3,0.2,1.8,11.3,3,0,-2.5,2732000,0.001826203209
Udonis Haslem,MIA,35,62,31,31,16,4.2,1.7,3.9,44.8,0,0.2,20,0.7,1,70.3,1.1,3,4.2,0.7,0.7,0.3,0.2,1.8,11.3,3,0,-2.5,2732000,0.001826203209
Lorenzo Brown,MIN,24,29,6,23,18.9,4.2,1.8,4.2,42.6,0.2,1,21.4,0.4,0.7,63.2,0.5,1.9,2.4,3.1,1,1,0.2,1.7,14.2,0,0,-3.2,,
Nick Calathes,MEM,26,58,36,22,14.4,4.2,1.8,4.3,42.1,0.2,0.7,25.6,0.4,0.8,53.3,0.3,1.5,1.8,2.5,1.1,1.1,0.1,1.7,12.6,0,0,1.5,816482,0.000545776738
Nick Collison,OKC,34,66,38,28,16.7,4.1,1.6,3.8,41.9,0.2,0.9,26.7,0.7,1,69.2,1.4,2.4,3.8,1.4,0.7,0.5,0.4,2.4,12.8,0,0,1.3,2242003,0.001498665107
James Michael McAdoo,GSW,22,15,11,4,9.1,4.1,1.6,2.9,54.5,0,0,0,0.9,1.7,56,1,1.5,2.5,0.1,0.4,0.3,0.6,1.4,9.7,0,0,0.6,167122,0.0001117125668
Pablo Prigioni,HOU,38,67,25,42,17.9,4.1,1.4,3.4,39.9,0.9,2.5,34.3,0.5,0.6,85.4,0.4,1.3,1.8,2.6,0.9,1.2,0,1.3,12.7,0,0,-1,1662961,0.001111604947
Luke Babbitt,NOP,26,63,34,29,13.2,4.1,1.5,3,47.9,0.9,1.8,51.3,0.2,0.3,68.4,0.2,1.6,1.8,0.4,0.4,0.3,0.2,1,7.7,0,0,-1.6,981084,0.0006558048128
Miles Plumlee,MIL,26,73,34,39,16.4,4,1.9,3.5,53.5,0,0,0,0.3,0.6,47.8,1.5,2.8,4.4,0.5,0.7,0.6,0.9,1.5,13.7,1,0,0,1169880,0.0007820053476
Luke Ridnour,ORL,34,47,13,34,14.5,4,1.6,3.7,42.6,0.4,1.3,31.7,0.4,0.4,85.7,0.2,1.3,1.4,2,0.8,0.4,0.1,1.4,9.5,0,0,-2.7,2750000,0.001838235294
Luke Ridnour,ORL,34,47,13,34,14.5,4,1.6,3.7,42.6,0.4,1.3,31.7,0.4,0.4,85.7,0.2,1.3,1.4,2,0.8,0.4,0.1,1.4,9.5,0,0,-2.7,2750000,0.001838235294
Samuel Dalembert,NYK,35,32,5,27,17,4,1.8,4.1,43.8,0,0,0,0.4,0.6,70,1.7,3.6,5.3,0.9,1.2,0.4,1.3,2.2,15.6,1,0,-5.5,4051527,0.002708239973
Shannon Brown,MIA,29,5,3,2,17.8,4,1.4,3.8,36.8,0.6,1.4,42.9,0.6,0.8,75,0,0.2,0.2,0.6,0.8,0.8,0,1.6,6.7,0,0,-3.2,915243,0.0006117934492
Glen Davis,LAC,29,74,52,22,12.2,4,1.6,3.4,45.9,0,0.1,0,0.8,1.3,63.2,0.6,1.7,2.3,0.5,0.5,0.6,0.3,1.8,9.5,0,0,-1.1,915243,0.0006117934492
Garrett Temple,WAS,29,52,28,24,14.1,3.9,1.3,3.3,40,0.6,1.7,37.5,0.7,0.9,72.9,0.5,1.3,1.7,1.1,0.7,0.8,0.2,1.5,9.9,0,0,-0.9,981084,0.0006558048128
Travis Wear,NYK,24,51,7,44,13.2,3.9,1.6,4.1,40.2,0.2,0.6,36.7,0.4,0.5,76.9,0.6,1.5,2.1,0.8,0.7,0.3,0.2,1.1,8.4,0,0,-1.6,507336,0.0003391283422
Joffrey Lauvergne,DEN,23,24,9,15,11.2,3.9,1.5,3.7,40.4,0.1,0.7,18.8,0.8,1.2,64.3,1.1,2.1,3.2,0.5,0.9,0.3,0.4,1.8,9.9,0,0,-4.7,1790281,0.001196711898
Larry Drew II,PHI,25,12,4,8,18.3,3.8,1.7,4.8,34.5,0.3,2.2,15.4,0.2,0.3,66.7,0.1,1.2,1.3,3.8,2.1,0.5,0,1.1,10.4,0,0,-6.1,,
Austin Daye,ATL,27,34,17,17,10.1,3.8,1.5,4.1,35.5,0.7,2.1,33.8,0.1,0.2,83.3,0.3,1.9,2.2,0.5,0.7,0.4,0.1,1.1,8,2,0,-1.3,53838,3.60E-05
Reggie Evans,SAC,35,47,16,31,16.3,3.7,1.2,2.9,42.3,0,0,0,1.3,2.1,61.9,2.1,4.3,6.4,0.7,1,0.5,0.1,1.9,13.2,2,0,-1,1768653,0.001182254679
Troy Daniels,CHA,23,47,15,32,8.5,3.7,1.3,3.5,37,0.9,2.5,36.4,0.2,0.3,84.6,0.2,0.5,0.7,0.5,0.4,0.1,0,0.9,5.3,0,0,-1.8,816482,0.000545776738
Hedo Turkoglu,LAC,36,62,42,20,11.4,3.7,1.3,3,44.1,1,2.2,43.2,0.1,0.2,54.5,0.1,1.5,1.6,0.6,0.5,0.3,0.1,1.1,7.3,0,0,0.2,915243,0.0006117934492
Raymond Felton,DAL,31,29,14,15,9.7,3.7,1.5,3.7,40.6,0.3,1.2,29.4,0.4,0.5,80,0.1,0.8,0.9,1.4,0.6,0.4,0.1,0.6,7.9,0,0,-0.7,3793693,0.002535891043
Matt Bonner,SAS,35,72,49,23,13,3.7,1.3,3.2,40.9,0.6,1.8,36.5,0.4,0.5,81.1,0.4,1.2,1.6,0.7,0.2,0.1,0.2,0.9,7.3,0,0,0.5,915243,0.0006117934492
Tyler Ennis,MIL,20,33,11,22,12.5,3.7,1.6,4.4,36.1,0.4,1.3,27.9,0.2,0.2,71.4,0.2,0.8,1.1,2.2,1.3,0.5,0.2,1.1,9.1,0,0,-1.8,1590720,0.001063315508
Dewayne Dedmon,ORL,25,59,17,42,14.3,3.7,1.5,2.7,56.2,0,0,0,0.6,1.1,53.1,2,3,5,0.2,0.9,0.3,0.8,2.4,12.4,2,0,-0.4,816482,0.000545776738
Cory Jefferson,BKN,24,50,18,32,10.6,3.7,1.5,3.3,44.9,0,0.3,13.3,0.6,1.1,57.4,0.9,2,2.9,0.3,0.4,0.2,0.4,1.2,9.1,1,0,1.5,507336,0.0003391283422
Tyler Hansbrough,TOR,29,74,45,29,14.3,3.6,1.2,2.2,52.1,0,0.1,14.3,1.3,1.9,69.8,1.4,2.1,3.6,0.3,0.3,0.4,0.2,1.9,9.9,2,0,2.6,3326235,0.002223419118
Kendrick Perkins,CLE,30,68,38,30,16.9,3.6,1.5,3.3,44.9,0,0,0,0.6,1.2,50.6,1.3,3.4,4.7,0.8,1.4,0.2,0.6,2.4,11.6,0,0,0.3,274573,0.0001835381016
Lester Hudson,LAC,30,5,5,0,11.1,3.6,1.2,2.8,42.9,0.6,1.2,50,0.6,0.8,75,0.2,1.4,1.6,1,0.6,1.2,0.2,0.8,10.6,0,0,-1.2,,
Jimmer Fredette,NOP,26,50,27,23,10.2,3.6,1.3,3.3,38,0.2,1,18.8,0.9,0.9,95.6,0.2,0.6,0.8,1.2,0.7,0.3,0,0.9,6.6,0,0,0.8,915243,0.0006117934492
Phil Pressey,BOS,24,50,22,28,12,3.5,1.3,3.5,36.8,0.3,1.3,24.6,0.7,1,67.3,0.3,1.3,1.6,2.3,0.8,0.6,0.1,1.1,10.3,1,0,0,816482,0.000545776738
Jeff Adrien,HOU,29,17,1,16,12.7,3.5,1.1,2.6,43.2,0,0,0,1.3,2.2,57.9,1.4,3.2,4.5,0.9,0.5,0.2,0.5,1.8,12.1,0,0,-0.8,,
Joel Freeland,POR,28,48,34,14,12.8,3.5,1.5,3.1,49,0,0,0,0.4,0.5,84,1.3,2.7,4,0.3,0.5,0.2,0.5,1.9,10.3,1,0,1.3,3013512,0.002014379679
Joel Freeland,POR,28,48,34,14,12.8,3.5,1.5,3.1,49,0,0,0,0.4,0.5,84,1.3,2.7,4,0.3,0.5,0.2,0.5,1.9,10.3,1,0,1.3,3013512,0.002014379679
Maurice Harkless,ORL,22,45,9,36,15,3.5,1.4,3.5,39.9,0.2,1.2,17.9,0.5,0.9,53.7,0.8,1.5,2.4,0.6,0.6,0.7,0.2,1.5,9.3,0,0,-2,1887840,0.001261925134
Gary Harris,DEN,20,55,18,37,13.1,3.4,1.2,3.9,30.4,0.4,1.9,20.4,0.6,0.9,74.5,0.4,0.8,1.2,0.5,0.7,0.7,0.1,1.3,7.4,0,0,-3.1,1519200,0.001015508021
Andre Roberson,OKC,23,67,41,26,19.2,3.4,1.4,3,45.8,0.3,1.3,24.7,0.3,0.7,47.9,0.9,2.9,3.8,1,0.7,0.8,0.4,2.1,12.5,1,0,1.6,1160880,0.0007759893048
Erick Green,DEN,24,43,15,28,9.5,3.4,1.4,3.8,37.7,0.3,1.1,29.8,0.2,0.3,83.3,0.2,0.6,0.7,0.9,0.3,0.3,0,0.6,6.1,0,0,-1.9,507336,0.0003391283422
James Young,BOS,19,31,14,17,10.7,3.4,1.2,3.3,35.3,0.5,2.1,25.8,0.5,0.9,55.2,0.3,1.1,1.4,0.4,0.2,0.3,0.1,0.7,6.4,0,0,0.2,1674480,0.001119304813
Jason Maxiell,CHA,32,61,22,39,14.4,3.3,1.3,3.1,42.2,0,0,0,0.7,1.2,57.7,1.4,1.9,3.3,0.3,0.5,0.3,0.7,1.6,10.4,0,0,-2.5,915243,0.0006117934492
Noah Vonleh,CHA,19,25,8,17,10.3,3.3,1.2,3,39.5,0.2,0.5,38.5,0.7,1,69.2,1.1,2.3,3.4,0.2,0.4,0.2,0.4,0.8,8.8,1,0,-2.7,2524200,0.001687299465
Noah Vonleh,CHA,19,25,8,17,10.3,3.3,1.2,3,39.5,0.2,0.5,38.5,0.7,1,69.2,1.1,2.3,3.4,0.2,0.4,0.2,0.4,0.8,8.8,1,0,-2.7,2524200,0.001687299465
Martell Webster,WAS,28,32,12,20,11,3.3,0.8,2.8,26.4,0.3,1.3,23.3,1.5,2,75,0.3,1.1,1.4,0.5,0.7,0.2,0,0.8,5.9,0,0,-4.2,5381750,0.003597426471
Allen Crabbe,POR,23,51,36,15,13.4,3.3,1.2,3,41.2,0.6,1.7,35.3,0.2,0.3,75,0.1,1.3,1.4,0.8,0.3,0.4,0.3,1.5,7.9,0,0,-0.5,862000,0.0005762032086
Francisco Garcia,HOU,33,14,10,4,14.3,3.2,1.2,4.5,27,0.7,3.2,22.2,0.1,0.3,25,0.2,1,1.2,1.1,0.7,0.6,0.4,1.4,8.6,0,0,-0.7,915243,0.0006117934492
Will Bynum,WAS,32,7,4,3,9.5,3.1,1.4,4.4,32.3,0,1.3,0,0.3,0.6,50,0.3,0.6,0.9,2.6,1.1,0.1,0.1,1.3,7.7,0,0,-7.1,2915908,0.001949136364
Will Bynum,WAS,32,7,4,3,9.5,3.1,1.4,4.4,32.3,0,1.3,0,0.3,0.6,50,0.3,0.6,0.9,2.6,1.1,0.1,0.1,1.3,7.7,0,0,-7.1,2915908,0.001949136364
Jerome Jordan,BKN,28,44,17,27,8.7,3.1,1.1,2.1,53.2,0,0,0,0.9,1,86.4,1.2,1.2,2.4,0.3,0.5,0.2,0.3,1.3,7.5,1,0,-1.7,816482,0.000545776738
Jordan Adams,MEM,20,30,14,16,8.3,3.1,1.2,2.9,40.7,0.3,0.8,40,0.5,0.8,60.9,0.3,0.6,0.9,0.5,0.5,0.5,0.2,0.8,6.9,0,0,0.6,1344120,0.0008984759358
Dwight Powell,DAL,23,29,11,18,8.2,3.1,1.1,2.3,46.3,0.1,0.4,27.3,0.9,1.1,75.8,0.6,1.1,1.7,0.3,0.4,0.3,0.2,1.4,6.8,0,0,0,507336,0.0003391283422
Doug McDermott,CHI,23,36,23,13,8.9,3,1.2,3,40.2,0.4,1.1,31.7,0.3,0.4,66.7,0.2,1,1.2,0.2,0.5,0.1,0,0.8,4.7,0,0,-2.3,2277960,0.001522700535
Jarnell Stokes,MEM,21,19,12,7,6.6,3,1.1,1.9,56.8,0,0,0,0.8,1.5,53.6,0.8,0.9,1.8,0.2,0.4,0.3,0.3,1.3,6.7,0,0,0.8,725000,0.0004846256684
Ryan Hollins,SAC,30,46,13,33,9.6,3,1.2,1.8,64.6,0,0,0,0.7,1.2,57.4,0.8,1.5,2.2,0.3,0.5,0.1,0.4,1.4,7.2,0,0,-1.2,915243,0.0006117934492
Johnny O'Bryant III,MIL,22,34,17,17,10.8,2.9,1.3,3.5,36.7,0,0,0,0.4,0.8,44.4,0.8,1.1,1.9,0.5,0.7,0.1,0.1,1.3,6,0,0,-2.9,600000,0.0004010695187
Quincy Miller,DET,22,10,2,8,12,2.9,0.9,3.8,23.7,0.3,1.8,16.7,0.8,1.1,72.7,0.4,1.6,2,0.8,0.5,0.7,0.5,0.9,9.6,0,0,4.4,,
Shayne Whittington,IND,24,20,9,11,5.4,2.9,1,2.1,45.2,0.1,0.3,16.7,0.9,1.2,78.3,0.5,1,1.5,0.3,0.3,0.3,0.1,0.9,5.8,0,0,0.8,507336,0.0003391283422
Elliot Williams,PHI,26,13,6,7,9.1,2.8,1.1,2.8,37.8,0.6,1.4,44.4,0.1,0.3,25,0,0.6,0.6,0.9,0.3,0.3,0,0.9,5.6,0,0,0.6,107676,7.20E-05
Bernard James,DAL,30,16,6,10,9.9,2.8,0.8,1.7,44.4,0,0,0,1.3,1.4,87,1.1,1.3,2.4,0.3,0.4,0.1,0.9,1.1,8.9,0,0,-0.6,236886,0.0001583462567
Jordan Hamilton,LAC,24,14,10,4,8.7,2.7,1,2.5,40,0.7,1.5,47.6,0,0,0,0.1,1,1.1,0.5,0.3,0.1,0,1,5,0,0,-2.1,150591,0.0001006624332
Earl Clark,BKN,27,10,6,4,9.3,2.7,1.1,3,36.7,0.4,1.4,28.6,0.1,0.4,25,0.1,2.2,2.3,0.3,0.6,0.3,0.4,1.2,7.4,0,0,-2.8,,
Jeff Ayres,SAS,28,51,33,18,7.5,2.7,1.1,1.9,57.9,0,0,0,0.5,0.7,75,0.7,1.6,2.3,0.3,0.5,0.2,0.2,1.2,6.3,0,0,-1.1,1828750,0.001222426471
Clint Capela,HOU,21,12,8,4,7.5,2.7,1.2,2.4,48.3,0,0,0,0.3,1.9,17.4,0.8,2.2,3,0.2,0.4,0.1,0.8,1.2,8.6,0,0,0.7,1189200,0.0007949197861
David Stockton,SAC,24,3,1,2,11,2.7,0.7,2,33.3,0.3,0.7,50,1,2,50,0,0.7,0.7,3,1.3,0.7,0,0.3,8.6,0,0,7.7,29483,1.97E-05
Elton Brand,ATL,36,36,25,11,13.5,2.7,1.2,2.6,44.2,0,0,0,0.3,0.6,52.2,0.8,2,2.8,0.6,0.5,0.5,0.7,1.5,9.9,0,0,0.1,2000000,0.001336898396
Joe Harris,CLE,23,51,32,19,9.7,2.7,0.9,2.4,40,0.6,1.6,36.9,0.2,0.3,60,0.1,0.7,0.8,0.5,0.5,0.1,0,1.2,4.4,0,0,-2,884879,0.0005914966578
Joey Dorsey,HOU,31,69,48,21,12.4,2.7,1.2,2.1,55.2,0,0,0,0.3,1.2,28.9,1.5,2.6,4,0.4,0.6,0.6,0.4,2.3,10.3,0,0,0.2,948163,0.0006337987968
E'Twaun Moore,CHI,26,56,36,20,9,2.7,1.1,2.5,44.6,0.2,0.7,34.2,0.2,0.4,60,0.2,0.6,0.8,0.6,0.3,0.4,0.1,0.8,5.7,0,0,-0.5,948163,0.0006337987968
Jorge Gutierrez,MIL,26,20,10,10,8.7,2.7,1.1,2.1,53.7,0,0.2,0,0.5,0.7,69.2,0.3,1,1.3,1.1,0.6,0.3,0,1.3,6.1,0,0,-1.4,96056,6.42E-05
Jeff Withey,NOP,25,37,17,20,7,2.6,0.9,1.7,50,0,0,0,0.9,1.4,68,0.6,1.1,1.7,0.3,0.3,0.1,0.5,0.7,6.6,0,0,-1.1,816482,0.000545776738
Malcolm Thomas,PHI,26,17,2,15,11.4,2.6,1.1,2.4,45,0,0.4,0,0.5,0.8,69.2,0.9,2.4,3.3,0.4,0.8,0.2,0.1,1,7.2,0,0,-6.4,635827,0.0004250180481
Nick Johnson,HOU,22,28,18,10,9.4,2.6,0.9,2.7,34.7,0.2,0.8,23.8,0.6,0.9,68,0.5,0.9,1.4,0.4,0.7,0.3,0.1,1.2,5.3,0,0,-1.7,507336,0.0003391283422
JaMychal Green,MEM,25,24,10,14,6.8,2.6,1.1,2,57.4,0,0.3,0,0.3,0.4,80,0.8,1.1,1.9,0.2,0.6,0.2,0.2,1,5.8,0,0,-1,134295,8.98E-05
Russ Smith,MEM,24,12,7,5,5.4,2.5,0.7,2.1,32,0.2,0.9,18.2,1,1.1,92.3,0.1,0.4,0.5,0.7,1,0.3,0,1.1,3.9,0,0,1.8,507336,0.0003391283422
Victor Claver,POR,26,10,6,4,7.6,2.4,0.9,2,45,0.6,1.1,54.5,0,0,0,0.3,1.7,2,0.1,0.4,0.1,0.1,1.2,5.2,0,0,2.1,1370000,0.0009157754011
Jeremy Evans,UTA,27,38,19,19,7,2.4,0.8,1.5,55.2,0.1,0.1,40,0.6,0.8,82.8,0.7,1.2,1.9,0.3,0.1,0.3,0.3,0.8,6.8,0,0,0.8,1794871,0.00119978008
Devyn Marble,ORL,22,16,3,13,13,2.3,0.9,2.8,31.8,0.3,1.4,18.2,0.3,1,31.3,0.3,1.6,1.9,1.1,0.6,0.6,0.1,0.9,7.7,0,0,-1,884879,0.0005914966578
Furkan Aldemir,PHI,23,41,9,32,13.2,2.3,1,1.9,51.3,0,0.1,0,0.3,0.7,48.1,1.9,2.4,4.3,0.7,0.4,0.4,0.4,2.3,10.4,1,0,-2.5,2963232,0.001980770053
Furkan Aldemir,PHI,23,41,9,32,13.2,2.3,1,1.9,51.3,0,0.1,0,0.3,0.7,48.1,1.9,2.4,4.3,0.7,0.4,0.4,0.4,2.3,10.4,1,0,-2.5,2963232,0.001980770053
Kyle Anderson,SAS,21,33,22,11,10.9,2.2,0.9,2.7,34.8,0.1,0.3,27.3,0.3,0.4,64.3,0.2,2,2.2,0.8,0.3,0.5,0.2,0.8,7.8,0,0,-1.1,1093680,0.0007310695187
Xavier Henry,LAL,24,9,1,8,9.5,2.2,0.3,1.4,23.1,0,0,0,1.6,2.7,58.3,0.2,0.2,0.4,0.3,0.3,0.3,0,0.7,3.9,0,0,1.6,1082000,0.0007232620321
Glen Rice,WAS,24,5,4,1,8.5,2.2,0.6,3,20,0.2,1.4,14.3,0.8,1.2,66.7,0.4,0.4,0.8,0.4,0.4,0,0,2.2,3.4,0,0,-4.4,,
Darius Morris,BKN,24,38,14,24,7.9,2.2,0.9,2.8,34,0.2,0.9,21.2,0.1,0.2,44.4,0.2,0.5,0.7,1.3,0.6,0.2,0,0.5,5.1,0,0,-1.7,702756,0.0004697566845
Mike Miller,CLE,35,52,31,21,13.5,2.1,0.7,2.2,32.5,0.6,1.9,32.7,0.1,0.1,75,0.1,1.7,1.8,0.9,0.4,0.3,0.1,1.4,6.1,0,0,-1.4,2732000,0.001826203209
Mike Miller,CLE,35,52,31,21,13.5,2.1,0.7,2.2,32.5,0.6,1.9,32.7,0.1,0.1,75,0.1,1.7,1.8,0.9,0.4,0.3,0.1,1.4,6.1,0,0,-1.4,2732000,0.001826203209
Glenn Robinson III,PHI,21,35,2,33,7.5,2.1,0.7,1.9,38.8,0.1,0.5,26.3,0.5,0.7,66.7,0.4,0.7,1.1,0.3,0.3,0.2,0,0.4,4.2,0,0,0.8,507336,0.0003391283422
Earl Barron,PHX,33,16,5,11,8.9,2,0.8,2.4,30.8,0.1,0.3,50,0.4,0.8,50,0.9,0.9,1.8,0.3,0.3,0.3,0.1,1.6,5.4,0,0,-3.6,183049,0.0001223589572
Grant Jerrett,UTA,21,8,6,2,6.4,2,0.9,3.3,26.9,0.1,1.9,6.7,0.1,0.1,100,0.3,0.9,1.1,0.4,0.4,0.3,0.3,1.4,5,0,0,-2.5,816482,0.000545776738
John Salmons,NOP,35,21,9,12,12.8,2,0.8,2.3,33.3,0.4,1.2,30.8,0.1,0.2,50,0.2,0.8,1,0.6,0.2,0.4,0.2,1.2,5.7,0,0,-3,2000000,0.001336898396
Julius Randle,LAL,20,1,0,1,13.6,2,1,3,33.3,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,-18,2997360,0.002003582888
Julius Randle,LAL,20,1,0,1,13.6,2,1,3,33.3,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,-18,2997360,0.002003582888
