Id,PLAYER,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Salary,Player_Comp_Share
524,Jordan Walsh,BOS,21,52,39,13,7.8,1.6,0.6,1.6,36.1,0.3,1.1,27.3,0.1,0.2,58.3,0.4,0.9,1.3,0.4,0.3,0.2,0.2,0.6,4.7,0,0,0.5,1891857,0.0003153095
525,Armel Traore,LAL,22,9,5,4,7.4,1.6,0.7,2.1,31.6,0,0.8,0,0.2,0.8,28.6,0.2,1.4,1.7,0.1,0.3,0.4,0.2,0.7,5.4,0,0,-5.4,,
525,Jack McVeigh,HOU,29,9,5,4,4.8,1.6,0.6,1.9,29.4,0.4,1.4,30.8,0,0,0,0.2,0.3,0.6,0.1,0.2,0,0.2,0.3,2.8,0,0,-1.1,,
527,Leonard Miller,MIN,21,13,11,2,2.4,1.5,0.5,1.2,40,0,0.4,0,0.6,0.6,100,0.2,0.6,0.8,0,0.2,0.2,0.1,0.2,3.1,0,0,-0.9,1891857,0.0003153095
528,Jazian Gortman,DAL,22,16,8,8,3.5,1.5,0.6,1.4,39.1,0.3,0.7,36.4,0.1,0.3,50,0.1,0.3,0.3,0.4,0.3,0.1,0.1,0.6,2.7,0,0,0.7,,
528,Kevin McCullar Jr.,NYK,24,4,4,0,7.3,1.5,0.5,1.8,28.6,0,0.3,0,0.5,0.5,100,0,2,2,0.5,0,0.3,0.3,1.5,6.2,0,0,-0.5,,
528,Quincy Olivari,LAL,24,2,1,1,5.2,1.5,0.5,2.5,20,0.5,2.5,20,0,0,0,0,0,0,0.5,0.5,0,0,0,1.8,0,0,-9,,
531,Matt Ryan,NYK,28,19,14,5,3.6,1.5,0.5,1.6,32.3,0.3,1,31.6,0.1,0.1,100,0,0.4,0.4,0.2,0.2,0.1,0,0.1,2.4,0,0,-2.1,1919558,0.0003199263333
532,Sidy Cissoko,POR,21,22,11,11,5.2,1.5,0.6,1.4,43.3,0.1,0.6,23.1,0.1,0.4,33.3,0.4,0.6,1,0.7,0.5,0.1,0,0.5,3.5,0,0,0.4,1891857,0.0003153095
533,Chris Livingston,MIL,21,21,15,6,5,1.4,0.4,1.3,33.3,0,0.4,0,0.6,0.8,75,0.5,1.2,1.7,0.2,0.3,0.2,0,0.4,4.2,0,0,-1.4,1891857,0.0003153095
534,Cam Christie,LAC,19,13,10,3,4.5,1.4,0.5,1.8,29.2,0.2,1,15.4,0.2,0.3,50,0.2,0.7,0.9,0.5,0.2,0.4,0.1,0.3,4.4,0,0,-0.8,1157153,0.0001928588333
535,Jacob Toppin,ATL,25,17,13,4,4.4,1.4,0.5,1.3,40.9,0.3,0.6,50,0,0,0,0.2,0.7,0.9,0.4,0.2,0.1,0,0.2,3.1,0,0,-1.5,,
536,Trey Alexander,DEN,22,24,14,10,4.9,1.3,0.5,1.7,31.7,0.1,0.7,17.6,0.1,0.2,75,0,0.5,0.5,0.5,0.2,0.1,0,0.4,2.8,0,0,-1,,
537,Spencer Jones,DEN,24,20,13,7,6.2,1.3,0.6,1.7,32.4,0.1,0.9,5.9,0.2,0.2,100,0.4,0.5,0.9,0.3,0.3,0.3,0.3,0.9,3.9,0,0,-2.3,,
538,Skal Labissiere,SAC,29,4,2,2,3,1.3,0.5,1,50,0.3,0.3,100,0,0,0,0.3,0.5,0.8,0.3,0,0,0,0.3,2.5,0,0,-0.3,,
539,Jalen Bridges,PHX,24,8,1,7,3.8,1.1,0.3,0.9,28.6,0.3,0.9,28.6,0.4,0.5,75,0,0.5,0.5,0,0.5,0,0,0,1.2,0,0,0.9,,
540,Xavier Tillman,BOS,26,33,26,7,7,1,0.4,1.6,24.5,0.2,1,15.6,0.1,0.1,75,0.3,1,1.3,0.2,0.4,0.3,0.2,0.5,3.9,0,0,-0.4,2237691,0.0003729485
541,Braxton Key,GSW,28,3,3,0,3.6,1,0,1.3,0,0,0.3,0,1,2,50,0.3,0.3,0.7,0,0.3,0.7,0,0,3.5,0,0,-2.7,,
541,Bryce McGowens,POR,22,13,8,5,2.5,1,0.3,1.1,28.6,0,0.3,0,0.4,0.5,83.3,0.2,0.1,0.2,0.2,0.3,0.1,0,0.2,1.4,0,0,-0.3,2019699,0.0003366165
541,Daniss Jenkins,DET,23,7,3,4,3.2,1,0.4,1.4,30,0.1,1,14.3,0,0.3,0,0,0.3,0.3,0.4,0.1,0,0,0.3,1.8,0,0,-1.3,,
541,Luke Travers,CLE,23,12,10,2,7.3,1,0.4,1.7,25,0,0.8,0,0.2,0.2,100,0.7,1,1.7,0.7,0.7,0.1,0.1,0.5,3.8,0,0,-0.1,,
541,Yuri Collins,GSW,24,2,2,0,8.2,1,0.5,1.5,33.3,0,0,0,0,0,0,1,0.5,1.5,2,0,1,0,2.5,8.8,0,0,-2.5,,
546,Justin Minaya,POR,26,19,8,11,5.3,0.9,0.4,1.1,38.1,0.1,0.5,20,0,0.1,0,0.3,0.3,0.5,0.4,0.3,0.3,0.1,0.6,3,0,0,-0.6,,
547,Anton Watson,NYK,24,9,5,4,2.5,0.9,0.4,1,44.4,0,0.1,0,0,0,0,0.1,0.2,0.3,0.2,0.2,0.1,0,0.3,1.7,0,0,-1,,
548,Isaiah Crawford,SAC,23,15,7,8,3,0.9,0.3,0.7,45.5,0.1,0.3,20,0.1,0.3,50,0.1,0.5,0.5,0.1,0.1,0.1,0.1,0.1,2.1,0,0,1.5,,
549,Harrison Ingram,SAS,22,5,0,5,7,0.8,0.4,0.8,50,0,0.2,0,0,0,0,0.4,1.4,1.8,0.6,0.2,0.6,0,0.4,5.5,0,0,6,,
550,Joe Ingles,MIN,37,19,12,7,6,0.8,0.3,1.2,26.1,0.2,0.8,20,0,0,0,0.1,0.5,0.6,1.2,0.5,0.1,0,0.6,3.1,0,0,0.1,2087519,0.0003479198333
551,PJ Dozier,MIN,28,9,7,2,3.9,0.8,0.2,0.3,66.7,0.2,0.3,66.7,0.1,0.7,16.7,0.1,0.4,0.6,0.6,0.1,0.1,0,0.3,2.5,0,0,-0.4,2087519,0.0003479198333
552,D.J. Carton,TOR,24,4,1,3,8.3,0.8,0.3,1.8,14.3,0,0.8,0,0.3,0.3,100,0,1,1,0.8,1,0.5,0,0.3,3.6,0,0,3,,
553,Ulrich Chomche,TOR,19,7,3,4,4.6,0.7,0.3,0.7,40,0,0,0,0.1,0.3,50,0.6,0.6,1.1,0.3,0.3,0,0.1,0.7,2.7,0,0,-3.4,,
554,Liam Robbins,MIL,25,13,8,5,4.4,0.7,0.2,0.6,25,0,0.2,0,0.4,0.8,50,0.5,0.4,0.9,0.2,0.5,0.2,0.2,0.7,2.5,0,0,-0.4,,
555,Stanley Umude,MIL,26,22,15,7,3.9,0.7,0.2,1.2,19.2,0.1,0.7,20,0.1,0.2,50,0.2,0.6,0.8,0.2,0.1,0.1,0.3,0.4,3,0,0,-0.7,2120693,0.0003534488333
556,James Johnson,IND,38,12,5,7,3.1,0.7,0.3,0.9,36.4,0,0.3,0,0,0.1,0,0,0.5,0.5,0.3,0.3,0,0.2,0.4,1.9,0,0,-0.8,2087519,0.0003479198333
